GPU,eBay Price,QTY Sold,Month
GeForce RTX 3070 Ti,$483,723,January 2023
GeForce RTX 3070,$397,1978,January 2023
GeForce RTX 3060 Ti,$331,1840,January 2023
GeForce RTX 3060,$287,977,January 2023
GeForce RTX 3050,$237,88,January 2023
Radeon RX 7900 XTX,"$1,240",109,January 2023
Radeon RX 7900 XT,$846,13,January 2023
Radeon RX 6950 XT,$733,36,January 2023
Radeon RX 6900 XT,$639,160,January 2023
Radeon RX 6800 XT,$507,370,January 2023
Radeon RX 6800,$431,140,January 2023
Radeon RX 6750 XT,$396,13,January 2023
Radeon RX 6700 XT,$320,655,January 2023
Radeon RX 6700 10GB,$285,2,January 2023
Radeon RX 6650 XT,$258,16,January 2023
Radeon RX 6600 XT,$215,543,January 2023
Radeon RX 6600,$187,311,January 2023
Radeon RX 6500 XT,$126,41,January 2023
Radeon RX 6400,$144,42,January 2023
Intel Arc A770 16GB,$323,11,January 2023
Intel Arc A770 8GB,—,0,January 2023
Intel Arc A750,$253,4,January 2023
Intel Arc A380,$100,1,January 2023
GeForce RTX 2080 Ti,$390,395,January 2023
GeForce RTX 2080 Super,$301,235,January 2023
GeForce RTX 2080,$261,161,January 2023
GeForce RTX 2070 Super,$249,344,January 2023
GeForce RTX 2070,$215,203,January 2023
GeForce RTX 2060 Super,$213,191,January 2023
GeForce RTX 2060,$183,417,January 2023
GeForce GTX 1660 Ti,$140,225,January 2023
GeForce GTX 1660 Super,$132,845,January 2023
GeForce GTX 1660,$116,178,January 2023
GeForce GTX 1650 Super,$110,131,January 2023
GeForce GTX 1650,$122,326,January 2023
Radeon RX 5700 XT,$165,948,January 2023
Radeon RX 5700,$169,158,January 2023
Radeon RX 5600 XT,$129,181,January 2023
Radeon RX 5500 XT 8GB,$105,114,January 2023
Radeon RX 5500 XT 4GB,$90,22,January 2023
GeForce RTX 3090 Ti,"$1,452",80,July 2022
GeForce RTX 3090,"$1,057",828,July 2022
GeForce RTX 3080 Ti,$901,432,July 2022
GeForce RTX 3080 12GB,$773,101,July 2022
GeForce RTX 3080,$696,1186,July 2022
GeForce RTX 3070 Ti,$593,549,July 2022
GeForce RTX 3070,$488,1459,July 2022
GeForce RTX 3060 Ti,$437,1428,July 2022
GeForce RTX 3060,$355,478,July 2022
GeForce RTX 3050,$288,116,July 2022
Radeon RX 6950 XT,$843,9,July 2022
